D,chi2,delta_chi2,objective,tile_id,weight_mode
0.0017782794100389228,10.052288882868547,4.909973747494322,weighted_least_squares,8,sigma
0.0023713737056616554,20.557802383992573,15.415487248618348,weighted_least_squares,8,sigma
0.0031622776601683794,41.60885249802856,36.466537362654336,weighted_least_squares,8,sigma
0.004216965034285823,78.29369008362208,73.15137494824786,weighted_least_squares,8,sigma
0.005623413251903491,134.66092533687882,129.5186102015046,weighted_least_squares,8,sigma
0.007498942093324558,210.12308841853456,204.98077328316035,weighted_least_squares,8,sigma
0.01,297.03834932142905,291.8960341860548,weighted_least_squares,8,sigma
0.01333521432163324,383.65180915344206,378.5094940180678,weighted_least_squares,8,sigma
0.01778279410038923,460.6497867441917,455.50747160881747,weighted_least_squares,8,sigma
0.023713737056616554,524.7207419933405,519.5784268579663,weighted_least_squares,8,sigma
0.03162277660168379,577.2861873497449,572.1438722143706,weighted_least_squares,8,sigma
0.042169650342858224,621.6780342446775,616.5357191093033,weighted_least_squares,8,sigma
0.05623413251903491,661.3020805036042,656.15976536823,weighted_least_squares,8,sigma
0.07498942093324558,699.11762632558,693.9753111902057,weighted_least_squares,8,sigma
0.1,737.7932096219064,732.6508944865321,weighted_least_squares,8,sigma
