D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,harmonics,location,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.00039810717055349735,0.003981071705534973,1e-05,1.35070012953031e-05,0.00023178583868532193,0.002009634152263551,bayes_h1_marginal_boundary,1.0000004074481637,H1,interior,5836.808324813646,5836.642384244266,-0.16594056938017995,27.738971929546096,False,22,112,224,44,bayes_h1_marginal_boundary,measured_graph,3.870043647715914,45,h1_z,2.6
0.0007943282347242822,0.00794328234724282,1e-05,1.6523051335184785e-05,0.0004325443909066728,0.004341982308079025,bayes_h1_marginal_boundary,1.000000014417923,H1,interior,4827.393158699661,4827.355045507998,-0.03811319166347554,14.481079370152656,False,23,93,186,46,bayes_h1_marginal_boundary,measured_graph,4.209829463334067,46,h1_z,2.9000000000000004
0.000630957344480193,0.006309573444801936,1e-05,1.5233968395587367e-05,0.0003495145300199258,0.00376440492484324,bayes_h1_marginal_boundary,1.0000008845620068,H1,interior,3624.08733706772,3624.016614750151,-0.07072231756904392,21.518122317197594,False,19,70,140,38,bayes_h1_marginal_boundary,measured_graph,4.504353849918546,47,h1_z,2.8000000000000003
0.0007943282347242822,0.006309573444801936,1e-05,1.586184599158952e-05,0.00039106254788489627,0.003496800641461646,bayes_h1_marginal_boundary,1.0000087515795353,H1,interior,2223.9856505315047,2223.9475373398413,-0.03811319166347554,59.67442394878526,False,17,41,82,34,bayes_h1_marginal_boundary,measured_graph,0.8947940363978278,48,h1_z,2.8000000000000003
0.00031622776601683794,0.005011872336272725,1e-05,1.3466155136993237e-05,0.00024056086734197953,0.0030164160357748432,bayes_h1_marginal_boundary,1.0000001139574752,H1,interior,8085.771922929195,8085.54337323391,-0.22854969528574837,75.38208692526314,False,30,142,284,60,bayes_h1_marginal_boundary,measured_graph,0.21830132081965345,49,h1_z,2.7
0.002511886431509582,0.003981071705534973,0.0012589254117941675,0.001121829170342693,0.002041581851647237,0.003604825127689064,bayes_h1_marginal_boundary,1.0000008773490152,H1,interior,12469.496429566872,12469.471362004737,-0.025067562135635053,80.1975036504009,False,38,221,442,76,bayes_h1_marginal_boundary,measured_graph,0.29293606520704907,50,h1_z,0.5
0.00019952623149688788,0.0019952623149688807,1e-05,1.2154244544249636e-05,0.00014784341721008835,0.0011220341128336548,bayes_h1_marginal_boundary,1.0000000198026624,H1,periphery,11043.322244578081,11042.938476630985,-0.38376794709688455,82.04240433538871,False,29,192,384,58,bayes_h1_marginal_boundary,measured_graph,0.17905676077817978,51,h1_z,2.3000000000000003
0.0007943282347242822,0.001584893192461114,0.00039810717055349735,0.00038978513724189067,0.0007306649545351378,0.0014820466124106173,bayes_h1_marginal_boundary,1.0000000021320727,H1,periphery,12634.188326599691,12634.150213408027,-0.03811319166347554,199.28803894797966,False,24,213,426,48,bayes_h1_marginal_boundary,measured_graph,0.08230651577757346,52,h1_z,0.6000000000000001
0.0019952623149688807,0.002511886431509582,0.001584893192461114,0.0012418799576617149,0.0017473817080304241,0.0024564143328115297,bayes_h1_marginal_boundary,1.0000001041116116,H1,interior,13825.520783583763,13825.513106895722,-0.007676688041203171,561.8856210957965,False,46,245,490,92,bayes_h1_marginal_boundary,measured_graph,0.30039397984554556,53,h1_z,0.20000000000000015
0.001,0.002511886431509582,5.011872336272725e-05,3.3546548302409396e-05,0.0007324297100248714,0.001845952042590501,bayes_h1_marginal_boundary,1.0000001296153431,H1,interior,9835.739834862263,9835.724330796505,-0.015504065757907535,433.1023616128841,False,31,179,358,62,bayes_h1_marginal_boundary,measured_graph,0.7178188511838894,54,h1_z,1.7000000000000002
