D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
0.000630957344480193,1.0000000017780186,0.7365126838558353,11023.194387811198,11023.12366549363,-0.07072231756904392,0.7365126838558353,bayes_h1_marginal_boundary,measured_graph,0.11538126346419438,0.05554662946806105,1,h1_z
0.0007943282347242822,1.0000000003258387,1.4379023438232252,11022.81108385531,11022.772970663646,-0.03811319166347554,1.4379023438232252,bayes_h1_marginal_boundary,measured_graph,0.0812513266637788,0.05555372252161015,1,h1_z
0.001,1.0000000000630551,2.3390465378215595,11022.337902632404,11022.322398566646,-0.015504065757907535,2.3390465378215595,bayes_h1_marginal_boundary,measured_graph,0.051778502436538885,0.05556899079103349,1,h1_z
0.0012589254117941675,1.0000000000135563,3.471747470655828,11021.758943040082,11021.75604810023,-0.0028949398523394052,3.471747470655828,bayes_h1_marginal_boundary,measured_graph,0.02938912141080926,0.055597630492005896,1,h1_z
0.001584893192461114,1.0000000000034457,4.913568254523852,11021.035423522242,11021.035137708295,-0.0002858139467712683,4.913568254523852,bayes_h1_marginal_boundary,measured_graph,0.014292203715827498,0.05564795128186961,1,h1_z
0.0019952623149688807,1.000000000001144,6.798278160182235,11020.100459443507,11020.092782755466,-0.007676688041203171,6.798278160182235,bayes_h1_marginal_boundary,measured_graph,0.005569800525871684,0.05573257037283162,1,h1_z
0.002511886431509582,1.000000000000514,9.326581080928008,11018.853698857229,11018.828631295093,-0.025067562135635053,9.326581080928008,bayes_h1_marginal_boundary,measured_graph,0.001573351064529209,0.05586963006756566,1,h1_z
0.0031622776601683794,1.0000000000003162,12.76827658187176,11017.160241980851,11017.107783544621,-0.05245843623006681,12.76827658187176,bayes_h1_marginal_boundary,measured_graph,0.0002814951755885688,0.05608334333845573,1,h1_z
0.003981071705534973,1.000000000000264,17.442100871056027,11014.860720710354,11014.77087140003,-0.08984931032449865,17.442100871056027,bayes_h1_marginal_boundary,measured_graph,2.719962440622288e-05,0.05640275602784653,1,h1_z
0.005011872336272725,1.0000000000002724,23.66366598694367,11011.797329026504,11011.660088842085,-0.13724018441893068,23.66366598694367,bayes_h1_marginal_boundary,measured_graph,1.212180260857133e-06,0.056857885844589354,1,h1_z
0.006309573444801936,1.0000000000002864,31.67492392845088,11007.849090929845,11007.654459871332,-0.19463105851336257,31.67492392845088,bayes_h1_marginal_boundary,measured_graph,2.2077233405547763e-08,0.057474185277993285,1,h1_z
0.00794328234724282,1.0000000000003368,41.59397312796864,11002.95695720418,11002.694935271573,-0.26202193260779433,41.59397312796864,bayes_h1_marginal_boundary,measured_graph,1.5489966645372604e-10,0.0582683287313729,1,h1_z
0.01,1.0000000000004265,53.39935353280816,10997.131657875856,10996.792245069153,-0.3394128067022262,53.39935353280816,bayes_h1_marginal_boundary,measured_graph,4.2319906478748505e-13,0.05924629575153427,1,h1_z
0.012589254117941675,1.0000000000005393,66.89099276718116,10990.473229132764,10990.046425451967,-0.42680368079665804,66.89099276718116,bayes_h1_marginal_boundary,measured_graph,4.975909393104047e-16,0.060398494092154344,1,h1_z
0.01584893192461114,1.0000000000006923,81.58183971405742,10983.22519653342,10982.701001978528,-0.5241945548910899,81.58183971405742,bayes_h1_marginal_boundary,measured_graph,3.2121482563304057e-19,0.061687370031334114,1,h1_z
0.01995262314968881,1.0000000000008564,96.62387600960938,10975.811569259738,10975.179983830752,-0.6315854289855218,96.62387600960938,bayes_h1_marginal_boundary,measured_graph,1.7396380654713849e-22,0.0630367298951716,1,h1_z
0.025118864315095822,1.000000000000993,110.9427358391622,10968.769530219057,10968.020553915976,-0.7489763030799538,110.9427358391622,bayes_h1_marginal_boundary,measured_graph,1.3525645370336218e-25,0.06434087545353935,1,h1_z
0.03162277660168379,1.0000000000010776,123.5747317813366,10962.580923122063,10961.704555944889,-0.8763671771743852,123.5747317813366,bayes_h1_marginal_boundary,measured_graph,2.444302375796022e-28,0.06549687017775757,1,h1_z
0.039810717055349734,1.0000000000010958,133.98381398510173,10957.513772894275,10956.500014843006,-1.0137580512688171,133.98381398510173,bayes_h1_marginal_boundary,measured_graph,1.3423057436262757e-30,0.0664399393903671,1,h1_z
