D,chi2_h1_red,chi2_h2_red,delta_chi2,harmonics,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
0.012589254117941675,1.0000000012469799,0.9999999999991548,645.5511261927168,H1+H2,36060.90533429188,36060.47853061108,-0.42680368079665804,285,311,645.5511261927168,bayes_h1h2_marginal_boundary,measured_graph,8.408478277323861e-142,0.06851815059059353,0.021767997050282498,22,h1:h1_z;h2:h2_z
0.01584893192461114,1.0000000010938066,0.9999999999991581,681.2774347443192,H1+H2,36043.13957089017,36042.61537633528,-0.5241945548910899,285,311,681.2774347443192,bayes_h1h2_marginal_boundary,measured_graph,1.4684125079948965e-149,0.06980505538469829,0.022049735398551207,22,h1:h1_z;h2:h2_z
0.01995262314968881,1.000000000936836,0.9999999999991476,710.7807172768516,H1+H2,36028.495320498,36027.86373506901,-0.6315854289855218,285,311,710.7807172768516,bayes_h1h2_marginal_boundary,measured_graph,5.758265353282473e-156,0.07082991057816425,0.02228462248219081,22,h1:h1_z;h2:h2_z
0.025118864315095822,1.0000000007823362,0.9999999999991318,735.4212987979263,H1+H2,36016.29242061156,36015.543444308474,-0.7489763030799538,285,311,735.4212987979263,bayes_h1h2_marginal_boundary,measured_graph,2.5683687759018193e-161,0.07163220610746826,0.02248463102858935,22,h1:h1_z;h2:h2_z
0.03162277660168379,1.0000000006394407,0.9999999999991261,756.5191552501346,H1+H2,36005.870883259544,36004.99451608237,-0.8763671771743852,285,311,756.5191552501346,bayes_h1h2_marginal_boundary,measured_graph,6.734666011848935e-166,0.07226572347788672,0.02265889666075551,22,h1:h1_z;h2:h2_z
0.039810717055349734,1.0000000005213818,0.9999999999991485,775.1287478655868,H1+H2,35996.70347782591,35995.689719774644,-1.0137580512688171,285,311,775.1287478655868,bayes_h1h2_marginal_boundary,measured_graph,6.127655925637961e-170,0.0727798257876983,0.0228138671228009,22,h1:h1_z;h2:h2_z
0.05011872336272725,1.0000000004465697,0.999999999999207,791.9502179967385,H1+H2,35988.44013363443,35987.27898470907,-1.1611489253632492,285,311,791.9502179967385,bayes_h1h2_marginal_boundary,measured_graph,1.3631967545930874e-173,0.0732145850914657,0.02295244968251064,22,h1:h1_z;h2:h2_z
0.06309573444801936,1.0000000004435456,0.9999999999992828,807.4222772887151,H1+H2,35980.86149486254,35979.54295506308,-1.3185397994576809,285,311,807.4222772887151,bayes_h1h2_marginal_boundary,measured_graph,5.954476099430099e-177,0.07360679271263668,0.023074105633099893,22,h1:h1_z;h2:h2_z
0.07943282347242822,1.0000000005740861,0.9999999999992819,821.9240433120867,H1+H2,35973.77800272495,35972.292072051394,-1.4859306735521132,285,311,821.9240433120867,bayes_h1h2_marginal_boundary,measured_graph,4.22498406687165e-180,0.07399689635256597,0.023177201622654263,22,h1:h1_z;h2:h2_z
0.1,1.000000001010406,0.9999999999988903,835.8705520161748,H1+H2,35966.982139247,35965.31881769935,-1.663321547646544,285,311,835.8705520161748,bayes_h1h2_marginal_boundary,measured_graph,3.9571197176099905e-183,0.07442649820925891,0.023261902562522745,22,h1:h1_z;h2:h2_z
