u,v,Q_dc_nL_s,Q_h1_real_nL_s,Q_h1_imag_nL_s,amp_h1_nL_s,phase_h1_rad,Q_h2_real_nL_s,Q_h2_imag_nL_s,amp_h2_nL_s,phase_h2_rad,measured_mean_Q_nL_s,measured_amp_h1_nL_s,measured_phase_h1_rad
631,2039,-0.004613004926808274,-2.7026055399460906e-05,0.00028040178995129107,0.000281701209579126,1.6668828404207994,2.1865967028319588e-06,8.404337036237417e-05,8.407181041828485e-05,1.5447847149587974,,,
631,632,0.004400960694681676,4.7506326130079264e-05,-0.0002846348668616849,0.0002885721026983491,-1.4054180098052556,2.4314898109724104e-06,-8.885980888417485e-05,8.889306934532604e-05,-1.5434399408383142,0.019440727362088295,0.0038608213206536473,-2.3479196129243385
632,823,0.0015815684443259191,-6.882903263860814e-06,-8.378840977318574e-05,8.407063678632959e-05,-1.6527585421974527,-3.965423281756588e-06,-2.241366263739686e-05,2.2761741028017544e-05,-1.745904248464448,0.00018913808725250282,,
632,2111,0.0028193922503557587,7.36990845326415e-05,-0.00021519905557322282,0.00022746909368210109,-1.240845999602431,1.1074157583358185e-05,-7.368810468297009e-05,7.451559392469075e-05,-1.421628448265067,0.02344400070323365,,
669,675,-0.006959099802604478,-0.00013331237864642253,0.0004811471719728828,0.0004992742647061532,1.8410877782835533,-2.4050249819118356e-05,0.00015645374868160331,0.00015829147163662447,1.7233235371271791,0.03314901764715852,0.005249045359042022,-2.8187414387061556
669,689,0.006125888275481818,0.00019822976521111584,-0.0004822155574072226,0.0005213701982480515,-1.1807738144633408,3.9916332002405015e-05,-0.00016791426635343764,0.00017259349467908523,-1.3374096777699336,,,
675,769,-0.00035797017134125736,9.268524178649582e-06,8.726732408178408e-06,1.2730333812361843e-05,0.7552997787138708,-6.76037832332867e-08,-1.31965747194658e-07,1.4827417152052343e-07,-2.0442218272490353,0.014279846391811386,0.002365836457670777,-2.7242561434995163
685,689,-0.006527647238184649,-0.00012286079890517826,0.00042886356980917513,0.0004461151616086231,1.8498036882388926,-3.287231547437002e-05,0.00013553730714030825,0.00013946666537740393,1.808735291297502,0.015871045311664164,0.005168836519565683,-2.0880529302411355
685,703,0.008366938045222773,0.00023658517671210373,-0.000605139481756971,0.000649743286399323,-1.1981074851233247,6.136569119716627e-05,-0.0002022568012560157,0.0002113612114613781,-1.2762187661026636,,,
689,785,-0.0004017589627028369,0.00013019877334078674,-8.161816457533119e-05,0.0001536660189114412,-0.5599454381851274,2.548696781729228e-05,-4.7210154481045296e-05,5.365057515669198e-05,-1.0757699235750253,0.03394351942472241,0.013184840896357415,-2.193675871194172
703,756,0.0024961437501752003,0.0001556724541984668,-0.00024188554131697378,0.00028765000972428136,-0.9989482438460916,3.815065223298352e-05,-9.1977534159662e-05,9.95757955323172e-05,-1.177611903463181,,,
715,1357,0.005913302557341014,0.00021101439990046236,-0.000428779215371869,0.0004778898330162171,-1.1134658592957936,6.735134001684272e-05,-0.00014342314952591235,0.0001584500010160826,-1.1317640939755154,0.03719545010532406,0.017806257651944248,-2.355027604360993
715,751,0.004780347586634582,0.0002521866389327393,-0.0004122910557773507,0.0004833032335192827,-1.021839100125623,7.081447456758692e-05,-0.00015023267845348454,0.0001660859641378268,-1.1303177375738895,0.056917244289088384,0.025606419340048113,0.31055713694941706
731,751,0.0010921954120197664,3.8697656412414454e-05,-8.243456707169676e-05,9.106572604504591e-05,-1.1318984584562481,1.090302649324895e-05,-2.8222906934691035e-05,3.0255717848973932e-05,-1.202139839627869,0.002504951788287659,0.0015155485436322482,-0.04004888385183222
731,756,-0.005968761977874611,-0.00023800692550642806,0.00046302066556224016,0.0005206106350495754,2.045605539966617,-6.873902505215612e-05,0.00016075611147280862,0.0001748358685767283,1.9748656191255567,0.030384231200666995,,
731,838,0.004876566565854849,0.0001993092690940126,-0.00038058609849054783,0.00042961606477300924,-1.0883765476816931,5.783599855890727e-05,-0.0001325332045381181,0.00014460308791463815,-1.1593189927283019,0.019116877272059952,0.01502918589998393,-2.4787300620814348
751,1429,0.005872542998654349,0.0003305705274978311,-0.0005080063039001583,0.0006060918069504769,-0.9939142013541427,9.759930214983447e-05,-0.00018527000829962603,0.00020940534796293572,-1.0859432617341804,0.09461129164085556,0.028455566713632325,0.6039777815721481
756,835,-0.00347261822769942,-3.4976799411565195e-05,0.00020016067031214434,0.00020319367715773985,1.7437932173532333,-1.3388490772076837e-05,5.776657662900139e-05,5.9297799795509075e-05,1.7985440062744553,0.001663109553270204,0.002365651816994605,-2.441612286334676
769,823,0.0004717920708097091,4.7605319628767636e-05,-6.366942711640949e-05,7.949882015658414e-05,-0.9287719771443504,8.812537948269594e-06,-2.653397995556675e-05,2.7959129410124877e-05,-1.2501357078362034,0.016577512131997683,,
785,807,-0.0034199920901004845,-6.434157500238422e-05,0.00022620377812894,0.00023517650289430308,1.8479181813461498,-1.6446412094766448e-05,7.186263009450699e-05,7.372056751606584e-05,1.7957808035666087,0.003795899936776994,,
785,835,0.003018233127397646,0.00024808785025376163,-0.0003356294874300722,0.00041736642686745405,-0.9342613647320805,5.9870987132291565e-05,-0.00013372612317288514,0.0001465169311685331,-1.149845503944046,,,
