ablation,D,chi2,delta_chi2
measured_fixed_mosaic_pressure,3.7976961046237105e-06,18585796.057805877,10.5945505797863
measured_fixed_mosaic_pressure,4.959344196412829e-06,18585800.456784733,14.993529435247183
measured_fixed_mosaic_pressure,6.476319900517853e-06,18585806.201291315,20.738036017864943
measured_fixed_mosaic_pressure,8.457311651040738e-06,18585813.702869035,28.239613737910986
measured_fixed_mosaic_pressure,1.1044253752367952e-05,18585823.49892416,38.03566886112094
measured_fixed_mosaic_pressure,1.4422495703074076e-05,18585836.291210283,50.82795498520136
measured_fixed_mosaic_pressure,1.883408213620521e-05,18585852.996073946,67.53281864896417
measured_fixed_mosaic_pressure,2.4595094858493616e-05,18585874.810051702,89.34679640457034
measured_fixed_mosaic_pressure,3.211829951274613e-05,18585903.295501757,117.83224646002054
measured_fixed_mosaic_pressure,4.194271945384357e-05,18585940.492376562,155.02912126481533
measured_fixed_mosaic_pressure,5.477225575051662e-05,18585989.064095873,203.60084057599306
measured_fixed_mosaic_pressure,7.15261203628294e-05,18586052.487887483,267.02463218569756
measured_fixed_mosaic_pressure,9.340469593695185e-05,18586135.30308939,349.83983409404755
measured_fixed_mosaic_pressure,0.00012197554094669347,18586243.434956852,457.97170155495405
measured_fixed_mosaic_pressure,0.00015928570228718652,18586384.61675055,599.1534952521324
measured_fixed_mosaic_pressure,0.00020800838230519039,18586568.939617373,783.4763620756567
measured_fixed_mosaic_pressure,0.00027163446868076383,18586809.568401735,1024.1051464378834
measured_fixed_mosaic_pressure,0.0003547226499133238,18587123.672490593,1338.2092352956533
measured_fixed_mosaic_pressure,0.0004632260367126272,18587533.63458672,1748.171331424266
measured_fixed_mosaic_pressure,0.0006049186910983003,18588068.61737105,2283.1541157513857
measured_fixed_mosaic_pressure,0.0007899526232095012,18588766.588597506,2981.125342208892
measured_fixed_mosaic_pressure,0.0010315851635904682,18589676.928931817,3891.4656765200198
measured_fixed_mosaic_pressure,0.00134712882579763,18590863.77212438,5078.308869082481
measured_fixed_mosaic_pressure,0.0017591917151838243,18592410.249309756,6624.786054458469
measured_fixed_mosaic_pressure,0.0022972973567980865,18594423.817657538,8638.354402240366
measured_fixed_mosaic_pressure,0.003000000000000001,18597042.825033616,11257.361778318882
