model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_1__k_0p1__delta_1,B3,equal_av,equal_drop,0.9284882867033948,0.9157051203057954,1.1216590766770747,0.8231807935913027
gnn,q_1__k_0p1__delta_1,B3,equal_av,fixed_drop_10pa,0.8651639524974409,0.9001706656604446,1.5639514451938232,1.0977569117203785
gnn,q_1__k_0p1__delta_1,B3,equal_av,gauge_only,0.9003031324413937,0.918927131654331,1.3368492863530936,1.044843433177381
gnn,q_1__k_0p1__delta_1,B3,equal_drop,fixed_drop_10pa,0.850690916503422,0.8349976964386047,1.5915752586201315,1.3550058380701195
gnn,q_1__k_0p1__delta_1,B3,equal_drop,gauge_only,0.9890434183769835,0.9741356720104519,0.44255839536752273,0.3548353305987006
gnn,q_1__k_0p1__delta_1,B3,fixed_drop_10pa,gauge_only,0.788594130509364,0.7910470099526266,1.8723539485821163,1.663491666203769
gnn,q_1__k_0p1__delta_10,C2,equal_av,equal_drop,0.9167641262366235,0.9163319272991,1.1324294921044147,0.875132946323394
gnn,q_1__k_0p1__delta_10,C2,equal_av,fixed_drop_10pa,0.9144089156259091,0.9347460525984254,1.3025347501502298,0.9232246629589999
gnn,q_1__k_0p1__delta_10,C2,equal_av,gauge_only,0.8842963925005599,0.8524820055879851,1.532378982265816,1.1807770158425313
gnn,q_1__k_0p1__delta_10,C2,equal_drop,fixed_drop_10pa,0.8735263103527813,0.8566732341451756,1.4935552231341793,1.3160035288146859
gnn,q_1__k_0p1__delta_10,C2,equal_drop,gauge_only,0.9945680348849085,0.9789261998601338,0.4873172973857845,0.39714643610681627
gnn,q_1__k_0p1__delta_10,C2,fixed_drop_10pa,gauge_only,0.8287323221814092,0.7651878865170659,1.841196270422355,1.5621782156841282
gnn,q_1__k_100__delta_10,K4,equal_av,equal_drop,0.9297208844149879,0.9171571999275895,1.0755962603180806,0.787405658980463
gnn,q_1__k_100__delta_10,K4,equal_av,fixed_drop_10pa,0.9005554772105218,0.9193854793770244,1.434418226064976,1.0694730900013014
gnn,q_1__k_100__delta_10,K4,equal_av,gauge_only,0.9041004568943871,0.8800839903959314,1.3261995453606368,0.9498924671107329
gnn,q_1__k_100__delta_10,K4,equal_drop,fixed_drop_10pa,0.8765899596355826,0.8664753905071635,1.4900115673470782,1.3471426659503
gnn,q_1__k_100__delta_10,K4,equal_drop,gauge_only,0.9906515776754186,0.9837802897701361,0.4305377908539715,0.38705421149320224
gnn,q_1__k_100__delta_10,K4,fixed_drop_10pa,gauge_only,0.8042679131334953,0.7896271431202448,1.889014122897113,1.707731758273949
gnn,q_1__k_10__delta_100,C4,equal_av,equal_drop,0.9340320820665736,0.9227322993867147,1.0836564343820605,0.7778933116649905
gnn,q_1__k_10__delta_100,C4,equal_av,fixed_drop_10pa,0.9133473436817856,0.9294294548904537,1.3244913792682023,0.986254311397236
gnn,q_1__k_10__delta_100,C4,equal_av,gauge_only,0.920580294643752,0.9117566118521705,1.2955110376385772,0.9631524897821356
gnn,q_1__k_10__delta_100,C4,equal_drop,fixed_drop_10pa,0.8854594079392479,0.8745962134946416,1.4107313140647604,1.2610438592031152
gnn,q_1__k_10__delta_100,C4,equal_drop,gauge_only,0.9941764295256197,0.9916930325145161,0.3827126891385185,0.3328106225891257
gnn,q_1__k_10__delta_100,C4,fixed_drop_10pa,gauge_only,0.8335436861568206,0.832676508148629,1.7228035947693103,1.5479573642185072
gnn,q_1__k_1__delta_10,C1,equal_av,equal_drop,0.9345459092572275,0.919829650974549,1.1285728897131975,0.8151302029635232
gnn,q_1__k_1__delta_10,C1,equal_av,fixed_drop_10pa,0.9201728678003781,0.9343531638951907,1.3601468728930417,1.0025657573656088
gnn,q_1__k_1__delta_10,C1,equal_av,gauge_only,0.9095542328357913,0.88184334277068,1.369925579066508,1.0113554894001298
gnn,q_1__k_1__delta_10,C1,equal_drop,fixed_drop_10pa,0.8885659477070349,0.8727771332369249,1.399500101619115,1.2413008093123088
gnn,q_1__k_1__delta_10,C1,equal_drop,gauge_only,0.9907158671521654,0.9844324913389554,0.43120841378976454,0.388015289629844
gnn,q_1__k_1__delta_10,C1,fixed_drop_10pa,gauge_only,0.8202015046278643,0.7990980522422169,1.807017229019402,1.6040263906799606
poiseuille_baseline,0.1|0.1,,equal_av,equal_drop,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|0.1,,equal_av,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|0.1,,equal_av,gauge_only,1.0,0.9999999999999998,1.3736146026523029e-14,2.074577322958021e-16
poiseuille_baseline,0.1|0.1,,equal_drop,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|0.1,,equal_drop,gauge_only,1.0,0.9999999999999998,1.3736146026523029e-14,2.074577322958021e-16
poiseuille_baseline,0.1|0.1,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.3736146026523029e-14,2.074577322958021e-16
poiseuille_baseline,0.1|1.0,,equal_av,equal_drop,1.0,0.9999999999999998,1.1327178327907236e-13,2.0745869977590704e-15
poiseuille_baseline,0.1|1.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.1327178327907236e-13,2.0745869977590704e-15
poiseuille_baseline,0.1|1.0,,equal_av,gauge_only,1.0,0.9999999999999998,1.1327178327907236e-13,2.0745869977590704e-15
poiseuille_baseline,0.1|1.0,,equal_drop,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|1.0,,equal_drop,gauge_only,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|1.0,,fixed_drop_10pa,gauge_only,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|10.0,,equal_av,equal_drop,1.0,0.9999999999999998,1.1340226867329185e-10,1.9137975934944123e-12
poiseuille_baseline,0.1|10.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.1340227116903169e-10,1.914005051226708e-12
poiseuille_baseline,0.1|10.0,,equal_av,gauge_only,0.9999999999999998,0.9999999999999998,1.134023285716532e-10,1.9158721804913985e-12
poiseuille_baseline,0.1|10.0,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,1.3736146026523029e-14,2.074577322958021e-16
poiseuille_baseline,0.1|10.0,,equal_drop,gauge_only,1.0,0.9999999999999998,1.1327178326666161e-13,2.07458699698623e-15
poiseuille_baseline,0.1|10.0,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.1074498525583444e-13,1.8671292646904283e-15
poiseuille_baseline,0.1|100.0,,equal_av,equal_drop,1.0,0.9999999999999998,1.4065820683653854e-11,2.1264418232999895e-13
poiseuille_baseline,0.1|100.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.4066303591506401e-11,2.1471876932775803e-13
poiseuille_baseline,0.1|100.0,,equal_av,gauge_only,1.0,0.9999999999999998,1.4065820683653854e-11,2.1264418232999895e-13
poiseuille_baseline,0.1|100.0,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,1.1327178327907236e-13,2.0745869977590704e-15
poiseuille_baseline,0.1|100.0,,equal_drop,gauge_only,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,0.1|100.0,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.1327178327907236e-13,2.0745869977590704e-15
poiseuille_baseline,1.0|0.1,,equal_av,equal_drop,0.9999999999999998,0.9999999999999998,1.0988980867006885e-13,1.6596715312353656e-15
poiseuille_baseline,1.0|0.1,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,2.8131961783268287e-11,4.2777782136711264e-13
poiseuille_baseline,1.0|0.1,,equal_av,gauge_only,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,1.0|0.1,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,2.8132176409679306e-11,4.29437492898348e-13
poiseuille_baseline,1.0|0.1,,equal_drop,gauge_only,1.0,0.9999999999999998,1.1074498525583444e-13,1.8671292646904283e-15
poiseuille_baseline,1.0|0.1,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,2.813192489461863e-11,4.2757036363365756e-13
poiseuille_baseline,1.0|1.0,,equal_av,equal_drop,1.0,0.9999999999999998,1.3736146026523029e-14,2.074577322958021e-16
poiseuille_baseline,1.0|1.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,1.0|1.0,,equal_av,gauge_only,1.0,0.9999999999999998,1.2286039798005215e-13,2.489502463123515e-15
poiseuille_baseline,1.0|1.0,,equal_drop,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,1.0988980867006885e-13,1.6596715312353656e-15
poiseuille_baseline,1.0|1.0,,equal_drop,gauge_only,1.0,0.9999999999999998,1.1736228283934664e-13,2.282044730827713e-15
poiseuille_baseline,1.0|1.0,,fixed_drop_10pa,gauge_only,0.9999999999999998,0.9999999999999998,4.1208438258668045e-14,6.223731995923473e-16
poiseuille_baseline,1.0|10.0,,equal_av,equal_drop,0.9999999999999998,0.9999999999999998,2.747229215538832e-14,4.1491546613728477e-16
poiseuille_baseline,1.0|10.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,4.1208438233082484e-14,6.223731992059272e-16
poiseuille_baseline,1.0|10.0,,equal_av,gauge_only,0.9999999999999998,0.9999999999999998,1.4066410900999928e-11,2.151336847938953e-13
poiseuille_baseline,1.0|10.0,,equal_drop,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,1.373614607769416e-14,2.0745773306864238e-16
poiseuille_baseline,1.0|10.0,,equal_drop,gauge_only,1.0,0.9999999999999998,1.4066303591506401e-11,2.1471876932775803e-13
poiseuille_baseline,1.0|10.0,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.4066270057121799e-11,2.1451131159468938e-13
poiseuille_baseline,1.0|100.0,,equal_av,equal_drop,1.0,0.9999999999999998,1.4065820683653854e-11,2.1264418232999895e-13
poiseuille_baseline,1.0|100.0,,equal_av,fixed_drop_10pa,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,1.0|100.0,,equal_av,gauge_only,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,1.0|100.0,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,1.4065820683653854e-11,2.1264418232999895e-13
poiseuille_baseline,1.0|100.0,,equal_drop,gauge_only,1.0,0.9999999999999998,1.4065820683653854e-11,2.1264418232999895e-13
poiseuille_baseline,1.0|100.0,,fixed_drop_10pa,gauge_only,0.9999999999999998,0.9999999999999998,0.0,0.0
poiseuille_baseline,10.0|0.1,,equal_av,equal_drop,1.0,0.9999999999999998,1.1327178326666161e-13,2.07458699698623e-15
poiseuille_baseline,10.0|0.1,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.1327178326666161e-13,2.07458699698623e-15
poiseuille_baseline,10.0|0.1,,equal_av,gauge_only,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,10.0|0.1,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,0.0,0.0
poiseuille_baseline,10.0|0.1,,equal_drop,gauge_only,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,10.0|0.1,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,100.0|0.1,,equal_av,equal_drop,1.0,0.9999999999999998,0.0,0.0
poiseuille_baseline,100.0|0.1,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,100.0|0.1,,equal_av,gauge_only,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,100.0|0.1,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,100.0|0.1,,equal_drop,gauge_only,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,100.0|0.1,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.1327178326666161e-13,2.07458699698623e-15
poiseuille_baseline,100.0|100.0,,equal_av,equal_drop,1.0,0.9999999999999998,0.0,0.0
poiseuille_baseline,100.0|100.0,,equal_av,fixed_drop_10pa,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,100.0|100.0,,equal_av,gauge_only,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,100.0|100.0,,equal_drop,fixed_drop_10pa,1.0,0.9999999999999998,1.3736146103279727e-14,2.0745773345506252e-16
poiseuille_baseline,100.0|100.0,,equal_drop,gauge_only,1.0,0.9999999999999998,1.1074498524631399e-13,1.8671292635311676e-15
poiseuille_baseline,100.0|100.0,,fixed_drop_10pa,gauge_only,1.0,0.9999999999999998,1.1327178326666161e-13,2.07458699698623e-15
