edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
4567,41315,43824,False,21.34872322148149,-1,0.0001013880319078,0.0001013880319078,1.0,0.0,2.5498585758948793e-10,2.5498585758948793e-10,-0.4953072071075439,low_snr_20pct,0.2144775513874403,0.6177995398246039,-0.4033220155422179,0.2167154801967219,0.6200374957389398,-0.3389559388160705,0.0643660500645637,-0.4953378438949585,-0.3278233706951141,0.0754986330866813,-0.4645532369613647,-0.3166351914405823,0.0866868123412132
4568,41315,43839,False,16.463037574201977,-1,9.892488014884292e-05,9.892488014884292e-05,1.0,0.0,2.407200829105326e-10,2.407200829105326e-10,-0.4953535795211792,low_snr_20pct,-0.2138149683347801,-0.6168771006162532,0.4030621322814731,-0.2160077130185234,-0.6190698452999965,0.3739291429519653,-0.0291329734027385,-0.4953836798667907,0.3677912056446075,-0.0352709405124187,-0.464675635099411,0.36237633228302,-0.040685798972845
4569,41349,41350,False,,-1,2.7266502002021294e-05,2.7266502002021294e-05,1.0,0.0,3.065129381183452e-12,3.065129381183452e-12,-0.4823133647441864,low_snr_20pct,0.002326108750739,0.002326108750739,0.0,0.0022122740871334,0.0022122740871334,-0.049788162112236,-0.049788162112236,-0.4825372397899627,-0.0512815825641155,-0.0512815825641155,-0.462212473154068,-0.049818780273199,-0.049818780273199
4570,41349,41388,False,37.26321491267311,-1,2.771442086668685e-05,2.771442086668685e-05,1.0,0.0,5.817837527646371e-13,5.817837527646371e-13,0.4270550012588501,low_snr_20pct,0.0048941902505532,-0.0176953686892213,0.0225895572457087,0.0056707263396734,-0.0169188309060352,0.0415174476802349,0.018927888944745,0.4334651231765747,0.0353111661970615,0.0127216102555394,0.4385573267936706,0.0387372896075248,0.0161477327346801
4571,41350,41357,False,38.57481905408345,-1,2.25979856622871e-05,2.25979856622871e-05,1.0,0.0,3.1890329034838954e-13,3.1890329034838954e-13,0.4893360733985901,low_snr_20pct,0.004237957827415,0.2331246916124592,-0.2288867066799899,0.0045582527485074,0.2334449594284973,-0.0665329471230506,0.1623537838459015,0.4903614223003387,-0.0726106315851211,0.1562760770320892,0.4899537563323974,-0.0692984089255333,0.1595882922410965
4572,41357,41421,False,51.48976531423613,-1,2.5614261176087894e-05,2.5614261176087894e-05,1.0,0.0,7.627701977316859e-13,7.627701977316859e-13,0.3415321111679077,low_snr_20pct,0.0033508727154916,-0.1616311418795637,0.1649820145950553,0.0037355169413451,-0.1612464976537102,0.010368637740612,-0.1546133756637573,0.3580025434494018,0.0117828110232949,-0.1531991958618164,0.348211407661438,0.0125748245045542,-0.1524071991443634
4573,41376,41388,False,24.78891540679257,-1,4.237344182911329e-05,4.237344182911329e-05,1.0,0.0,3.757775974686253e-12,3.757775974686253e-12,-0.4790384769439697,low_snr_20pct,0.0450418782133033,0.2424191083332319,-0.1973772165674014,0.0468423721035685,0.24421958867097,-0.2583513259887695,-0.0609741061925888,-0.4800997078418731,-0.2586342096328735,-0.0612569898366928,-0.4691896438598633,-0.2552929222583771,-0.0579156950116157
4574,41376,41472,False,36.86271652713075,-1,4.46623598691076e-05,4.46623598691076e-05,1.0,0.0,5.893107527247173e-12,5.893107527247173e-12,-0.4898311793804168,low_snr_20pct,0.0096735321508212,-0.2229654356178151,0.2326389677686363,0.0111221609315004,-0.2215168068371359,0.1726910918951034,-0.0599478706717491,-0.4902556538581848,0.165017157793045,-0.0676218122243881,-0.4798590838909149,0.1593943238258361,-0.0732446461915969
4575,41376,41518,False,16.560924649519254,-1,4.883516157860868e-05,4.883516157860868e-05,1.0,0.0,1.1486962665911192e-11,1.1486962665911192e-11,-0.4944284856319427,low_snr_20pct,-0.0537151872731945,-0.0130766504937741,-0.0406385300031567,-0.0569189877522302,-0.0162804577490734,0.0726563334465026,0.1132948696613311,-0.4945792257785797,0.0792765095829963,0.1199150383472442,-0.48468679189682,0.0793867483735084,0.1200252696871757
4576,41388,41424,False,24.210522710838003,-1,5.236888682702556e-05,5.236888682702556e-05,1.0,0.0,1.4424210015241451e-11,1.4424210015241451e-11,-0.4947406351566314,low_snr_20pct,0.0509496687461225,0.2883110688123996,-0.2373614271713314,0.0535712357178745,0.290932662889206,-0.2070621848106384,0.0302992090582847,-0.4948678016662597,-0.2114562541246414,0.025905167683959,-0.4847801923751831,-0.2065449059009552,0.0308165214955806
4577,41421,41424,False,55.19757486994841,-1,3.2360712793888524e-05,3.2360712793888524e-05,1.0,0.0,1.234833967212554e-12,1.234833967212554e-12,-0.1597167700529098,low_snr_20pct,-0.0080220584610323,-0.3716310765727675,0.3636090181117352,-0.0079664897115606,-0.3715755078232958,0.1763695925474167,-0.1872394233942031,-0.1573798805475235,0.1804554164409637,-0.1831535995006561,-0.183089017868042,0.1717045754194259,-0.1919044405221939
