edge_id,in_targeted_166,in_low_snr_20pct,category
1222,False,False,neither
1223,False,False,neither
1224,False,False,neither
1225,False,False,neither
1226,False,False,neither
1227,False,False,neither
1228,False,False,neither
1229,False,False,neither
1230,False,True,low_snr_only
1231,False,False,neither
1232,False,False,neither
1233,False,True,low_snr_only
1234,False,False,neither
1235,False,False,neither
1236,False,False,neither
1237,False,False,neither
1238,False,False,neither
1239,False,False,neither
1240,False,False,neither
1241,False,False,neither
1242,False,False,neither
1243,False,False,neither
1244,False,False,neither
1245,False,False,neither
1246,False,False,neither
1247,False,False,neither
1248,False,False,neither
1249,False,False,neither
1250,False,False,neither
1251,False,False,neither
1252,False,False,neither
1253,False,False,neither
1254,False,False,neither
1255,False,False,neither
1256,False,True,low_snr_only
1257,False,False,neither
1258,False,False,neither
1259,False,False,neither
1260,False,False,neither
1261,False,False,neither
1262,False,False,neither
1263,False,False,neither
1264,False,False,neither
1265,False,False,neither
1266,False,False,neither
1267,False,False,neither
1268,False,False,neither
1269,False,False,neither
1270,False,False,neither
1271,False,False,neither
1272,False,False,neither
1273,False,False,neither
1274,False,False,neither
1275,False,False,neither
1276,False,False,neither
1277,False,False,neither
1278,False,False,neither
1279,False,False,neither
1280,False,False,neither
1281,False,False,neither
1282,False,False,neither
1283,False,False,neither
1284,False,False,neither
1285,False,False,neither
1286,False,False,neither
1287,False,False,neither
1288,False,False,neither
1289,False,False,neither
1290,False,False,neither
1291,False,False,neither
1292,False,False,neither
1293,False,False,neither
1294,False,False,neither
1295,False,False,neither
1296,False,False,neither
1297,False,False,neither
1298,False,False,neither
1299,False,False,neither
1300,False,False,neither
1301,False,False,neither
1302,False,False,neither
1303,False,False,neither
1304,False,False,neither
1305,False,False,neither
1306,False,False,neither
1307,False,False,neither
1308,False,False,neither
1309,False,False,neither
1310,False,False,neither
1311,False,True,low_snr_only
1312,False,False,neither
1313,False,False,neither
1314,False,False,neither
1315,False,True,low_snr_only
1316,False,False,neither
1317,False,False,neither
1318,False,False,neither
1319,False,True,low_snr_only
1320,False,False,neither
1321,False,True,low_snr_only
1322,False,False,neither
1323,False,False,neither
1324,False,False,neither
1325,False,False,neither
1326,False,False,neither
1327,False,False,neither
1328,False,False,neither
1329,False,False,neither
1330,False,False,neither
1331,False,False,neither
1332,False,False,neither
1333,False,False,neither
1334,False,False,neither
1335,False,False,neither
1336,False,False,neither
1337,False,False,neither
1338,False,False,neither
1339,False,False,neither
1340,False,False,neither
1341,False,False,neither
1342,False,False,neither
1343,False,False,neither
1344,False,False,neither
1345,False,False,neither
1346,False,False,neither
1347,False,False,neither
1348,False,False,neither
1349,False,False,neither
1350,False,False,neither
1351,False,False,neither
1352,False,False,neither
1353,False,False,neither
1354,False,False,neither
1355,False,False,neither
1356,False,False,neither
1357,False,False,neither
1358,False,False,neither
1359,False,False,neither
1360,False,False,neither
1361,False,False,neither
1362,False,True,low_snr_only
1363,False,False,neither
1364,False,False,neither
1365,False,False,neither
1366,False,True,low_snr_only
1367,False,False,neither
1368,False,False,neither
1369,False,False,neither
1370,False,False,neither
1371,False,False,neither
1372,False,False,neither
1373,False,False,neither
1374,False,False,neither
1375,False,False,neither
1376,False,False,neither
1377,False,False,neither
1378,False,False,neither
1379,False,False,neither
1380,False,False,neither
1381,False,False,neither
1382,False,False,neither
1383,False,False,neither
1384,False,False,neither
1385,False,False,neither
1386,False,False,neither
1387,False,False,neither
1388,False,True,low_snr_only
1389,False,False,neither
1390,False,False,neither
1391,False,False,neither
1392,False,False,neither
1393,False,False,neither
1394,False,False,neither
1395,False,False,neither
1396,False,False,neither
1397,False,False,neither
1398,False,False,neither
1399,False,False,neither
1400,False,False,neither
1401,False,True,low_snr_only
1402,False,False,neither
1403,False,False,neither
1404,False,False,neither
1405,False,False,neither
1406,False,False,neither
1407,False,False,neither
1408,False,False,neither
1409,False,False,neither
1410,False,False,neither
1411,False,False,neither
1412,False,False,neither
